Celsius,Fahrenheit
143,289.40000000000003
144,291.2
145,293.0
146,294.8
147,296.6
148,298.40000000000003
149,300.2
150,302.0
151,303.8
152,305.6
153,307.40000000000003
154,309.2
155,311.0
156,312.8
157,314.6
158,316.40000000000003
159,318.2
160,320.0
161,321.8
162,323.6
163,325.40000000000003
164,327.2
165,329.0
166,330.8
167,332.6
168,334.40000000000003
169,336.2
170,338.0
171,339.8
172,341.6
173,343.40000000000003
174,345.2
175,347.0
176,348.8
177,350.6
178,352.40000000000003
179,354.2
180,356.0
181,357.8
182,359.6
183,361.40000000000003
184,363.2
185,365.0
186,366.8
187,368.6
188,370.40000000000003
189,372.2
190,374.0
191,375.8
192,377.6
193,379.40000000000003
194,381.2
195,383.0
196,384.8
197,386.6
198,388.40000000000003
199,390.2
200,392.0
300,572.0
